Semana,Color,Codigo Color
1,Verde,#008000
2,Amarillo,#FFFF00
3,Blanco,#FFFFFF
4,Azul,#0000FF
5,Cafe,#964B00
6,Gris,#808080
7,Morado,#A020F0
8,Rojo,#FF0000
9,Negro,#000000
10,Naranja,#FFA500
11,Verde,#008000
12,Amarillo,#FFFF00
13,Blanco,#FFFFFF
14,Azul,#0000FF
15,Cafe,#964B00
16,Gris,#808080
17,Morado,#A020F0
18,Rojo,#FF0000
19,Negro,#000000
20,Naranja,#FFA500
21,Verde,#008000
22,Amarillo,#FFFF00
23,Blanco,#FFFFFF
24,Azul,#0000FF
25,Cafe,#964B00
26,Gris,#808080
27,Morado,#A020F0
28,Rojo,#FF0000
29,Negro,#000000
30,Naranja,#FFA500
31,Verde,#008000
32,Amarillo,#FFFF00
33,Blanco,#FFFFFF
34,Azul,#0000FF
35,Cafe,#964B00
36,Gris,#808080
37,Morado,#A020F0
38,Rojo,#FF0000
39,Negro,#000000
40,Naranja,#FFA500
41,Verde,#008000
42,Amarillo,#FFFF00
43,Blanco,#FFFFFF
44,Azul,#0000FF
45,Cafe,#964B00
46,Gris,#808080
47,Morado,#A020F0
48,Rojo,#FF0000
49,Negro,#000000
50,Naranja,#FFA500
51,Verde,#008000
52,Amarillo,#FFFF00
