Semana,Color,Codigo Color
1,Blanco,#FFFFFF
2,Azul,#0000FF
3,Cafe,#964B00
4,Gris,#808080
5,Morado,#A020F0
6,Rojo,#FF0000
7,Negro,#000000
8,Naranja,#FFA500
9,Verde,#008000
10,Amarillo,#FFFF00
11,Blanco,#FFFFFF
12,Azul,#0000FF
13,Cafe,#964B00
14,Gris,#808080
15,Morado,#A020F0
16,Rojo,#FF0000
17,Negro,#000000
18,Naranja,#FFA500
19,Verde,#008000
20,Amarillo,#FFFF00
21,Blanco,#FFFFFF
22,Azul,#0000FF
23,Cafe,#964B00
24,Gris,#808080
25,Morado,#A020F0
26,Rojo,#FF0000
27,Negro,#000000
28,Naranja,#FFA500
29,Verde,#008000
30,Amarillo,#FFFF00
31,Blanco,#FFFFFF
32,Azul,#0000FF
33,Cafe,#964B00
34,Gris,#808080
35,Morado,#A020F0
36,Rojo,#FF0000
37,Negro,#000000
38,Naranja,#FFA500
39,Verde,#008000
40,Amarillo,#FFFF00
41,Blanco,#FFFFFF
42,Azul,#0000FF
43,Cafe,#964B00
44,Gris,#808080
45,Morado,#A020F0
46,Rojo,#FF0000
47,Negro,#000000
48,Naranja,#FFA500
49,Verde,#008000
50,Amarillo,#FFFF00
51,Blanco,#FFFFFF
52,Azul,#0000FF
