,Año,Semana,Finca,Cajas,Bolsas,Cajas por Hectarea
0,2022,1,Damaquiel,100,10.2,7.429420505200594
1,2022,1,Pedrito,77,49,1.8438697318007664
2,2022,1,San Pedro,633,34,15.621915103652515
3,2022,1,Uveros,82,3.4,10.25
4,2022,2,Damaquiel,81,10.2,6.017830609212481
5,2022,2,San Pedro,629,25.5,15.523198420533069
6,2022,2,Uveros,65,4,8.125
7,2022,3,Damaquiel,162,18,12.035661218424963
8,2022,3,Pedrito,87,37.4,2.0833333333333335
9,2022,3,San Pedro,412,17,10.167818361303059
10,2022,4,Damaquiel,120,14.4,8.915304606240714
11,2022,4,Pedrito,87,42.5,2.0833333333333335
12,2022,4,San Pedro,612,68,15.10365251727542
13,2022,4,Uveros,77,3.4,9.625
14,2022,5,Damaquiel,144,21.6,10.698365527488855
15,2022,5,Pedrito,92,61.2,2.203065134099617
16,2022,5,San Pedro,435,27.2,10.735439289239881
17,2022,5,Uveros,110,3.4,13.75
18,2022,6,Damaquiel,156,36,11.589895988112927
19,2022,6,Pedrito,78,0,1.867816091954023
20,2022,6,San Pedro,653,105.39999999999999,16.11549851924975
21,2022,6,Uveros,90,9.6,11.25
22,2022,7,Damaquiel,223,76.19999999999999,16.567607726597323
23,2022,7,Pedrito,154,39.12,3.687739463601533
24,2022,7,San Pedro,660,76.52,16.288252714708783
25,2022,7,Uveros,90,10.8,11.25
26,2022,8,Damaquiel,81,32.400000000000006,6.017830609212481
27,2022,8,San Pedro,466,115.6,11.500493583415597
28,2022,8,Uveros,100,10.8,12.5
29,2022,9,Damaquiel,177.5,66.58,13.187221396731054
30,2022,9,Pedrito,146.5,57.84,3.5081417624521074
31,2022,9,San Pedro,377,125.2,9.304047384007896
32,2022,9,Uveros,101,14.399999999999999,12.625
33,2022,10,Damaquiel,117,32.199999999999996,8.692421991084695
34,2022,10,San Pedro,485,166.5,11.969397828232971
35,2022,10,Uveros,88,12.8,11.0
36,2022,11,Damaquiel,101,35.699999999999996,7.503714710252599
37,2022,11,Pedrito,200,14,4.789272030651341
38,2022,11,San Pedro,364,117.27,8.983218163869694
39,2022,11,Uveros,87,12.4,10.875
40,2022,12,Damaquiel,119,27.2,8.841010401188706
41,2022,12,Pedrito,180,54.34,4.310344827586207
42,2022,12,San Pedro,384,108.8,9.47680157946693
43,2022,12,Uveros,123,13.6,15.375
44,2022,13,Damaquiel,192,61.199999999999996,14.26448736998514
45,2022,13,Pedrito,215.6,44.1,5.162835249042145
46,2022,13,San Pedro,570,161.5,14.067127344521223
47,2022,13,Uveros,96,13.6,12.0
48,2022,14,Damaquiel,189,54.96,14.041604754829123
49,2022,14,Pedrito,160,65,3.831417624521073
50,2022,14,San Pedro,505,270,12.462981243830207
51,2022,14,Uveros,108,6.8,13.5
52,2022,15,Damaquiel,154,40.8,11.441307578008914
53,2022,15,San Pedro,308,129.2,7.601184600197433
54,2022,15,Uveros,97,11.4,12.125
55,2022,16,Damaquiel,122,40,9.063893016344725
56,2022,16,Pedrito,341,78.96000000000001,8.165708812260537
57,2022,16,San Pedro,479,264,11.8213228035538
58,2022,16,Uveros,101,10,12.625
59,2022,17,Damaquiel,294,82,21.842496285289748
60,2022,17,Pedrito,208,36,4.980842911877395
61,2022,17,San Pedro,421,234,10.389930898321815
62,2022,17,Uveros,131,16.08,16.375
63,2022,18,Damaquiel,225,46,16.716196136701335
64,2022,18,Pedrito,221,61.2,5.292145593869732
65,2022,18,San Pedro,267,205.4,6.589338598223099
66,2022,18,Uveros,20,46,2.5
67,2022,19,Damaquiel,180,33,13.372956909361069
68,2022,19,Pedrito,173,45.2,4.14272030651341
69,2022,19,San Pedro,628,238,15.498519249753206
70,2022,19,Uveros,249,52.9,31.125
71,2022,20,Damaquiel,204,34,15.156017830609212
72,2022,20,Pedrito,259,39,6.202107279693487
73,2022,20,San Pedro,525,176,12.956564659427443
74,2022,20,Uveros,143,10.44,17.875
75,2022,21,Damaquiel,226,36,16.79049034175334
76,2022,21,Pedrito,327,69,7.830459770114943
77,2022,21,San Pedro,606,187.1,14.955577492596248
78,2022,21,Uveros,96,25.2,12.0
79,2022,22,Damaquiel,212,79.6,15.75037147102526
80,2022,22,Pedrito,420,119.0,10.057471264367816
81,2022,22,San Pedro,473,211.98000000000002,11.673247778874629
82,2022,22,Uveros,70,16,8.75
83,2022,23,Damaquiel,126,62.6,9.361069836552748
84,2022,23,Pedrito,263,53.2,6.297892720306514
85,2022,23,San Pedro,287,132.6,7.082922013820335
86,2022,23,Uveros,54,17,6.75
87,2022,24,Damaquiel,100,122,7.429420505200594
88,2022,24,Pedrito,347,107.4,8.309386973180077
89,2022,24,San Pedro,466,141.8,11.500493583415597
90,2022,25,Damaquiel,125,68.8,9.286775631500742
91,2022,25,Pedrito,476,161.1,11.398467432950191
92,2022,25,San Pedro,289,70.8,7.1322803553800584
93,2022,25,Uveros,91,109.2,11.375
94,2022,26,Damaquiel,118,45,8.7667161961367
95,2022,26,Pedrito,410,125.8,9.81800766283525
96,2022,26,San Pedro,301,78.52,7.4284304047384
97,2022,26,Uveros,51,32,6.375
98,2022,27,Damaquiel,110,35,8.172362555720653
99,2022,27,Pedrito,417,141.4,9.985632183908047
100,2022,27,San Pedro,418,84.1,10.31589338598223
101,2022,27,Uveros,43,32,5.375
102,2022,28,Damaquiel,79,25,5.869242199108469
103,2022,28,Pedrito,234,125,5.603448275862069
104,2022,28,San Pedro,385,81,9.501480750246792
105,2022,28,Uveros,51,39,6.375
106,2022,29,Damaquiel,103,27,7.652303120356612
107,2022,29,Pedrito,227,110,5.435823754789272
108,2022,29,San Pedro,269,67,6.638696939782823
109,2022,29,Uveros,50,27,6.25
110,2022,30,Damaquiel,105,27,7.800891530460624
111,2022,30,Pedrito,269,130,6.441570881226054
112,2022,30,San Pedro,349,144,8.613030602171767
113,2022,30,Uveros,45,27,5.625
114,2022,31,Damaquiel,73,25,5.423476968796433
115,2022,31,Pedrito,182,122,4.35823754789272
116,2022,31,San Pedro,340,116,8.39091806515301
117,2022,31,Uveros,35,13,4.375
118,2022,32,Damaquiel,73,22.4,5.423476968796433
119,2022,32,Pedrito,120,95,2.873563218390805
120,2022,32,San Pedro,336,91,8.292201382033564
121,2022,32,Uveros,35,13,4.375
122,2022,34,Damaquiel,145,61.4,10.77265973254086
123,2022,34,Pedrito,205,161,4.909003831417625
124,2022,34,San Pedro,772,256,19.052319842053308
125,2022,34,Uveros,65,49.4,8.125
126,2022,35,Damaquiel,70,38,5.200594353640415
127,2022,35,Pedrito,80,117.48,1.9157088122605366
128,2022,35,San Pedro,352,155.92,8.687068114511352
129,2022,35,Uveros,12,8,1.5
130,2022,36,Damaquiel,46,30.6,3.4175334323922733
131,2022,36,Pedrito,184,41,4.406130268199234
132,2022,36,San Pedro,342,111.44,8.440276406712734
133,2022,36,Uveros,15,30.6,1.875
134,2022,37,Damaquiel,42,28.9,3.1203566121842496
135,2022,37,Pedrito,95,93.8,2.274904214559387
136,2022,37,San Pedro,329,0,8.119447186574531
137,2022,37,Uveros,20,0,2.5
138,2022,38,Damaquiel,46,36.72,3.4175334323922733
139,2022,38,Pedrito,93,85,2.227011494252874
140,2022,38,San Pedro,496,162,12.240868706811451
141,2022,38,Uveros,7,40.8,0.875
142,2022,39,Damaquiel,50,27.2,3.714710252600297
143,2022,39,Pedrito,65,58,1.556513409961686
144,2022,39,San Pedro,307,74.8,7.576505429417571
145,2022,40,Pedrito,65,38.8,1.556513409961686
146,2022,40,San Pedro,78,5.1,1.92497532082922
147,2022,40,Uveros,21,44.2,2.625
148,2022,41,Damaquiel,61,0,4.531946508172362
149,2022,41,Pedrito,94,0,2.2509578544061304
150,2022,41,San Pedro,605,50.4,14.930898321816386
151,2022,42,Pedrito,59,42,1.4128352490421456
152,2022,42,San Pedro,500,93,12.339585389930896
153,2022,42,Uveros,31,18.7,3.875
154,2022,43,Pedrito,67,64.16,1.6044061302681993
155,2022,43,San Pedro,486,101.71360000000001,11.994076999012831
156,2022,43,Uveros,39,43.12,4.875
157,2022,44,Damaquiel,36,41.88,2.674591381872214
158,2022,44,Pedrito,56,56.4,1.3409961685823755
159,2022,44,San Pedro,351,57.70440000000001,8.66238894373149
160,2022,44,Uveros,43,42.4,5.375
161,2022,45,Damaquiel,31,11.92,2.303120356612184
162,2022,45,Pedrito,73,49.08,1.7480842911877394
163,2022,45,San Pedro,449,82.8632,11.080947680157946
164,2022,45,Uveros,18,14.2,2.25
165,2022,46,Damaquiel,17,14,1.263001485884101
166,2022,46,Pedrito,52,41.48,1.2452107279693487
167,2022,46,San Pedro,304,73.47999999999999,7.502467917077985
168,2022,46,Uveros,22,9.72,2.75
169,2022,48,Damaquiel,46,30.82,3.4175334323922733
170,2022,48,Pedrito,81,58,1.9396551724137931
171,2022,48,San Pedro,694,109.33000000000001,17.127344521224085
172,2022,48,Uveros,46,30.82,5.75
173,2022,49,Damaquiel,33,0,2.451708766716196
174,2022,49,Pedrito,97,86.2,2.3227969348659006
175,2022,49,San Pedro,434,86.32000000000001,10.71076011846002
176,2022,49,Uveros,36,13.08,4.5
177,2022,50,Damaquiel,48,20,3.566121842496285
178,2022,50,Pedrito,139,74,3.328544061302682
179,2022,50,San Pedro,354,65,8.736426456071074
180,2022,50,Uveros,55,16,6.875
181,2022,51,Damaquiel,52,14.32,3.8632986627043087
182,2022,51,Pedrito,58,43.28,1.388888888888889
183,2022,51,San Pedro,313,55.68,7.724580454096742
