id,codigo,nombre,Nombre Generico,Funcion,unidad_de_medida,composicion
0,I01,PARACUAT,,,ML,CERRERO - AMETRINA-ARPON(150+150+4CC)
1,I02,PANZER-DESTIERRO-TRILLA,,,ML,PANZER-DESTIERRO-TRILLA-ARPON (130+200+40 GMS+4CC)
2,I03,PARAXONE-FASCINATE,,,ML,PARAXONE-FASCINATE-ARPON(150+100+4CC)
3,I04,DESTIERRO-TRILLA,,,ML,DESTIERRO-TRILLA EMULSION-ARPON(150+100+4CC)
4,I05,PARACUAT,,,ML,PARACUAT(PARAXONE-200 X 20 AGUA)
5,I06,PARACUAT,,,ML,PARAXONE-DESTIERRO-ARPON(125+125+4CC)
6,I07,GLIFOSATO,,,ML,PANZER-DESTIERRO-TRILLA- (200ML)ARPON (4CC)N.D 300 ML MEZCLA
7,I08,PARACUAT,,,ML,AMETRINA-DESTIERRO-ARPON-(100-150ML-4CC)
8,I09,PARACUAT,,,ML,CERRERO - AMETRINA-ARPON+TRILLA (150+150+4CC+40 GRS)
9,I10,Bolsa de Campo,,,ROLLO,
10,I11,AFOL-MANCOZED-ARPON,,,ML,"AFOL-MANCOZEP-ARPON (1,5-0,500X BOMBA-30CC)"
11,I12,DAP,,,SACO,DAP (60 GRS)
12,I13,Mertec,,,CC,MERTEC
13,I14,PARACUAT,,,ML,PARAXONE-AMETRINA-ARPON(150+100+4CC)
14,I15,PARACUAT,,,ML,PARAXONE-AMETRINA-TRILLA-ARPON(150+100+20+4CC)
15,I16,PARACUAT,,,ML,CERRERO - AMETRINA-ARPON+TRILLA (130+130+4CC+20 GRS)
16,I17,AFOL-MANCOZED-SPRAYFIX,,,ML,"AFOL-MANCOZEP-SPRAYFIX (4 LTS+16,500 + 100 CC )X CANECA DE 500 LTS"
17,I18,PARACUAT,,,ML,CERRERO - AMETRINA-POTENZOL+TRILLA (130+130+10CC+20 ML)
18,I19,CONTROL SIGATOCA,,,BOMBA MOTOR,"AFOL-MANCOZED-TECNOSIL-POTENZOL(100 MLXBOMBA+0,500+1 LTS+10CCXBOMBA)XCANECA DE 200LTS"
19,I20,GLUFOSINATO DE AMONIO,,,ML,DESTIERRO-AMETRINA-POTENZOL(150+150+10CC)
20,I21,UREA,,,SACO,Urea
21,I22,GLUFOSINATO DE AMONIO,,,ML, (150 ML X BOMBA)
22,I23,CLORURO POTASIO,,,SACO,CLORURO DE POTASIO (60 GRS)
23,I24,PARACUAT,,,ML,CERRERO (150 ML X BOMBA)
24,I25,TIERRA DIATOMEAS(SILICIO),,,SACO,TIERRA DIATOMEAS (SILICIO) 30 GRS
25,I26,NITRATO POTASIO,,,SACO,NITRATO DE POTASIO (60 GRS)
26,I27,HUMUS,,,LTS,LOMBRILIT 30 ML
27,I28,BORO ZINCO,,,SACO,BORO ZINCO
28,I29,GLYFOSATO,,,ML,PANZER 150 ML X BOMBA
29,I30,PARACUAT,,,ML,AMETRINA-GRAMAFIN-POTENZOL-(150-150ML-10CC)
